data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9203900,356,IND110193,110193,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),Tribal Group (India),6,,,0,60,South Asia,India,Jharkhand,Latehar,Latehar,Latehar,23.7462,84.5095,1,Indo-Asian News Service; Hindustan Times,National-Regional,"On 26 April 2022, hundreds of members of the Tana Bhagat tribal community began a protest outside the district collectorate, and locked the building after forcing the officers out, including the offices of the deputy commissioner, deputy development commissioner and sub divisional officer, in Latehar town (Latehar, Jharkhand), demanding the restoration of traditional tribal self-government systems in tribal-dominated areas and the cancellation of the panchayat polls (village level local body elections) in the district. [size=hundreds]",0,1652192377,IND
9203919,356,IND110307,110307,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),Hindu Group (India),6,,,0,60,South Asia,India,Uttar Pradesh,Agra,Agra,Agra,27.1833,78.0166,1,Deccan Herald; Telegraph (India),National,"On 26 April 2022, Hindu saints and activists staged a protest, outside the Taj Mahal in Agra city (Agra district, UP), claiming that the Taj Mahal was a Shiva temple demolished by the Mughals. [size=no report]",0,1652192377,IND
9203925,356,IND110326,110326,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),Labour Group (India),6,,,0,60,South Asia,India,Punjab,Ludhiana,Ludhiana East,Ludhiana,30.912,75.8537,1,Hindustan Times; Chandigarh Tribune,National,"On 26 April 2022, Punjab Roadways, PUNBUS/PRTC Contract Workers Union staged a protest, in Ludhiana city (Ludhiana East, Ludhiana district, Punjab), against transfer orders issued by the government. [size=no report]",0,1652192377,IND
9203929,356,IND110346,110346,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,South Asia,India,Uttar Pradesh,Kanpur Nagar,Kanpur,Kanpur,26.4652,80.3497,1,Times of India; Amar Ujala,Subnational-National,"On 26 April 2022, kin of a man killed in police custody staged a protest, in Babupurwa area in Kanpur city (Kanpur Nagar district, UP), demanding an investigation in the custodial killing. [size=no report]",0,1652192377,IND
9204024,356,IND110098,110098,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,South Asia,India,Jammu and Kashmir,Udhampur,Chenani,Brinda Landar,33.1153,75.1833,1,Amar Ujala,National,"On 26 April 2022, students held a protest at Brinda Landar town (Udhampur district, J&K) over shortage of teachers in their school and demanded immediate appointment of faculty. [size=no report]",0,1652192378,IND
9204025,356,IND110094,110094,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,South Asia,India,Jammu and Kashmir,Poonch,Surankote,Bafliaz,33.6147,74.3518,1,Amar Ujala,National,"On 26 April 2022, locals held a protest at Bafliaz town (Poonch district, J&K) to demand permit for all kinds of vehicles and all people for using a road. [size=no report]",0,1652192378,IND
9204026,356,IND110100,110100,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),AAP: Aam Aadmi Party; Government of India (2014-),6,,,0,60,South Asia,India,Jammu and Kashmir,Udhampur,Udhampur,Udhampur,32.9243,75.1357,1,Amar Ujala,National,"On 26 April 2022, panches (local government heads) along with six AAP members held a protest at Udhampur city (J&K) over lack of power and water supply in their area. [size=at least 6]",0,1652192378,IND
9204028,356,IND110091,110091,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),AAP: Aam Aadmi Party; Government of India (2014-),6,,,0,60,South Asia,India,Jammu and Kashmir,Kathua,Kathua,Kathua,32.3867,75.5174,1,Amar Ujala,National,"On 26 April 2022, locals led by an AAP sarpanch (local government head) staged a protest at Chak Desa in Kathua city (J&K) over power shortage in their area. [size=no report]",0,1652192378,IND
9204034,356,IND110099,110099,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),AAP: Aam Aadmi Party,6,,,0,60,South Asia,India,Jammu and Kashmir,Udhampur,Udhampur,Udhampur,32.9243,75.1357,2,Amar Ujala,National,"On 26 April 2022, locals led by AAP members held a protest at Darsoo village in Udhampur district (J&K) against the water department over lack of water supply in their area. [size=no report]",0,1652192378,IND
9204036,356,IND110086,110086,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,South Asia,India,Jammu and Kashmir,Jammu,Bishnah,Bishnah,32.6106,74.8556,2,Amar Ujala,National,"On 26 April 2022, locals held a protest at Pateyadi Sultanpur village in Bishnah tehsil (Jammu district, J&K) against the police over increasing incidents of theft in the area. [size=no report]",0,1652192378,IND
9204052,356,IND110096,110096,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,6,,,0,60,South Asia,India,Jammu and Kashmir,Samba,Samba,Vijaypur,32.5649,75.0227,1,Amar Ujala,National,"On 26 April 2022, INC members held a protest at Vijaypur city (Samba district, J&K) against the BJP-led government over power shortage. [size=no report]",0,1652192378,IND
9204056,356,IND109985,109985,26 April 2022,2022,1,Riots,Mob violence,Rioters (India),BSP: Bahujan Samaj Party,5,Rioters (India),BSP: Bahujan Samaj Party,5,55,South Asia,India,Uttar Pradesh,Meerut,Meerut,Meerut,28.98,77.7063,1,Amar Ujala,Subnational,"On 26 April 2022, BSP members clashed with each other, in Meerut city (Meerut district, UP), during a party meeting. [size=no report]",0,1652192378,IND
9204069,356,IND110090,110090,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,South Asia,India,Jammu and Kashmir,Kathua,Kathua,Hatli,32.4197,75.5845,1,Amar Ujala,National,"On 26 April 2022, locals staged a protest at Hatli town (Kathua district, J&K) over lack of power and water supply in their area. [size=no report]",0,1652192378,IND
9204088,356,IND110427,110427,26 April 2022,2022,1,Protests,Protest with intervention,Protesters (India),BJYM: Bharatiya Janata Yuva Morcha; BJP: Bharatiya Janata Party,6,Police Forces of India (2014-),,1,16,South Asia,India,West Bengal,Kolkata,Kolkata,Kolkata,22.5728,88.3747,1,Asian News International,National,"On 26 April 2022, police used a water cannon to disperse BJP and BJYM members protesting at Kolkata city (WB) against state government over claimed politicization and corruption in the recruitment process by the state. Four persons were left injured. [size=no report]",0,1652192378,IND
9204141,356,IND110319,110319,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),IYC: Indian Youth Congress,6,,,0,60,South Asia,India,Himachal Pradesh,Shimla,Shimla,Shimla,31.1044,77.1666,1,Chandigarh Tribune,National,"On 26 April 2022, IYC members, staged a protest, in Shimla town (Shimla district, HP), against water scarcity in the city. [size=no report]",0,1652192378,IND
9204168,356,IND110332,110332,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),Labour Group (India),6,,,0,60,South Asia,India,Punjab,Faridkot,Faridkot,Kotkapura,30.5819,74.8329,1,Chandigarh Tribune,National,"On 26 April 2022, make-shift cart owners staged a protest, in Kotkapura town (Faridkot district, Punjab), against the government's ban and fines on their carts and vends. [size=no report]",0,1652192378,IND
9204187,356,IND110092,110092,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,South Asia,India,Jammu and Kashmir,Kulgam,Kulgam,Kulgam,33.6446,75.0192,1,Daily Excelsior,Subnational,"On 26 April 2022, kissan union (a local farmer organization) members held a protest at Kulgam city (J&K) over unscheduled power cuts in the area. [size=no report]",0,1652192378,IND
9204188,356,IND110095,110095,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,South Asia,India,Jammu and Kashmir,Samba,Samba,Ramgarh,32.507,74.9626,1,Daily Excelsior,Subnational,"On 26 April 2022, kissan union (a local farmer organization) members held a protest at Ramgarh city (Samba district, J&K) over unscheduled power cuts in the area. [size=no report]",0,1652192378,IND
9204195,356,IND110085,110085,26 April 2022,2022,1,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,South Asia,India,Jammu and Kashmir,Ganderbal,Ganderbal,Ganderbal,34.2262,74.7748,1,Daily Excelsior,Subnational,"On 26 April 2022, kissan union (a local farmer organization) members held a protest at Ganderbal city (J&K) over unscheduled power cuts in the area. [size=no report]",0,1652192378,IND
