,Locations
0,tiruchirappalli
1,bangalore
2,delhi-newdelhi
3,patna
4,karnal
5,ahmedabad
6,punjab
7,karnataka
8,delhi
9,maharashtra
10,jalandhar
11,uttar
12,thiruvananthapuram
13,dehradun
14,gurgaon
15,tamil
16,hyderabad
17,gujarat
18,guwahati
19,lucknow
20,puducherry
21,madurai
22,andhra
23,bhubaneswar
24,arunachal
25,shimla
26,salem
27,amritsar
28,ludhiana
29,india
30,sangrur
31,jammu
32,westbengal
33,kolkata
34,kerala
35,telangana
36,bengaluru
37,patiala
38,srinagar
39,imphal
40,bangkok
41,chandigarh
42,madhya
43,assam
44,ranchi
45,pulwama
46,chennai
47,coimbatore
48,haryana
49,bathinda
50,agartala
51,jaipur
